Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2022-01-21 21:39:51,ETHBUSD,SELL,"2,645.1500000000",0.1851000000ETH,489.61726500BUSD,0.4896172700BUSD
2022-01-21 21:32:55,DOTBUSD,SELL,20.9000000000,0.6600000000DOT,13.79400000BUSD,0.0137940000BUSD
2022-01-21 21:32:55,DOTBUSD,SELL,20.9000000000,9.0500000000DOT,189.14500000BUSD,0.1891450000BUSD
2022-01-21 21:32:55,DOTBUSD,SELL,20.9000000000,12.3100000000DOT,257.27900000BUSD,0.2572790000BUSD
2022-01-21 21:32:55,DOTBUSD,SELL,20.9000000000,2.3500000000DOT,49.11500000BUSD,0.0491150000BUSD
2022-01-20 22:00:22,VETBUSD,SELL,0.0690000000,"8,708.3000000000VET",600.87270000BUSD,0.6008727000BUSD
2022-01-10 14:18:53,DOTBUSD,SELL,22.8000000000,12.0000000000DOT,273.60000000BUSD,0.2736000000BUSD
2022-01-10 14:18:47,VETBUSD,SELL,0.0705000000,"2,177.1000000000VET",153.48555000BUSD,0.1534855500BUSD
2022-01-10 14:16:32,BNBBUSD,SELL,420.0000000000,0.8910000000BNB,374.22000000BUSD,0.3742200000BUSD
2022-01-10 14:16:32,BNBBUSD,SELL,420.0000000000,0.1090000000BNB,45.78000000BUSD,0.0457800000BUSD
2022-01-08 18:12:41,BNBBUSD,SELL,420.0000000000,1.0000000000BNB,420.00000000BUSD,0.4200000000BUSD
2021-12-04 04:53:26,ETHBUSD,BUY,"4,050.0000000000",0.0617000000ETH,249.88500000BUSD,0.0000000000ETH
2021-12-03 20:19:20,VETBUSD,BUY,0.1050000000,"1,336.9000000000VET",140.37450000BUSD,0.0000000000VET
2021-12-03 20:19:20,VETBUSD,BUY,0.1050000000,948.0000000000VET,99.54000000BUSD,0.0000000000VET
2021-12-03 20:19:20,VETBUSD,BUY,0.1050000000,96.0000000000VET,10.08000000BUSD,0.0000000000VET
2021-12-03 20:19:07,BNBBUSD,BUY,580.0000000000,1.0000000000BNB,580.00000000BUSD,0.0000000000BNB
2021-12-03 20:01:01,DOTBUSD,BUY,33.5000000000,7.4600000000DOT,249.91000000BUSD,0.0000000000DOT
2021-12-01 17:59:27,DOTBUSD,BUY,37.5000000000,6.6600000000DOT,249.75000000BUSD,0.0000000000DOT
2021-11-28 18:43:11,BNBBUSD,BUY,574.0000000000,1.0000000000BNB,574.00000000BUSD,0.0000000000BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580.0000000000,0.1530000000BNB,88.74000000BUSD,0.0000000000BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580.0000000000,0.3920000000BNB,227.36000000BUSD,0.0000000000BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580.0000000000,0.2130000000BNB,123.54000000BUSD,0.0000000000BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580.0000000000,0.2420000000BNB,140.36000000BUSD,0.0000000000BNB
2021-11-28 03:12:24,DOTBUSD,SELL,32.8000000000,0.3200000000DOT,10.49600000BUSD,0.0000000000BUSD
2021-11-28 03:12:24,DOTBUSD,SELL,32.8000000000,21.9300000000DOT,719.30400000BUSD,0.0000000000BUSD
2021-11-28 02:38:53,BNBBUSD,SELL,574.0000000000,2.0000000000BNB,"1,148.00000000BUSD",0.0000000000BUSD
