Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-09-07 15:46:48,BTCBUSD,BUY,47000,0.01059,497.73,0,BTC
2021-09-10 21:48:18,BTCBUSD,BUY,44500,0.01123,499.735,0,BTC
2021-09-20 11:43:44,BTCBUSD,BUY,43500,0.01149,499.815,0,BTC
2021-10-20 12:40:42,BTCBUSD,SELL,64500,0.0222,1431.9,0,BUSD
2021-10-26 22:39:13,BTCBUSD,BUY,60000,0.01666,999.6,0,BTC
2021-10-27 19:23:49,ETHBUSD,BUY,3950,0.2531,999.745,0,ETH
2021-11-03 18:00:14,BTCBUSD,BUY,62000,0.01612,999.44,0,BTC
2021-11-08 08:35:36,MATICBUSD,BUY,1.89,6.5,12.285,0,MATIC
2021-11-08 08:35:37,MATICBUSD,BUY,1.89,522.6,987.714,0,MATIC
2021-11-10 20:51:00,MATICBUSD,SELL,1.7,529.1,899.47,0,BUSD
2021-11-11 05:38:19,DOTBUSD,BUY,48.58,4.72,229.2976,0.00472,DOT
2021-11-11 05:38:28,DOTBUSD,BUY,48.58,15.86,770.4788,0,DOT
2021-11-14 07:39:07,ETHBUSD,BUY,4600,0.2173,999.58,0,ETH
2021-11-14 16:52:02,VETBUSD,BUY,0.155,6451.6,999.998,0,VET
2021-11-15 21:00:33,DOTBUSD,BUY,45,0.23,10.35,0,DOT
2021-11-15 21:00:33,DOTBUSD,BUY,45,3.14,141.3,0,DOT
2021-11-15 21:00:33,DOTBUSD,BUY,45,3.33,149.85,0,DOT
2021-11-15 21:00:33,DOTBUSD,BUY,45,0.23,10.35,0,DOT
2021-11-15 21:00:33,DOTBUSD,BUY,45,0.23,10.35,0,DOT
2021-11-15 21:00:33,DOTBUSD,BUY,45,0.23,10.35,0,DOT
2021-11-15 21:00:33,DOTBUSD,BUY,45,3.72,167.4,0,DOT
2021-11-16 00:12:46,VETBUSD,SELL,0.157,151.2,23.7384,0,BUSD
2021-11-16 00:12:46,VETBUSD,SELL,0.157,1089,170.973,0,BUSD
2021-11-16 00:12:46,VETBUSD,SELL,0.157,635.3,99.7421,0,BUSD
2021-11-16 00:12:46,VETBUSD,SELL,0.157,2497.3,392.0761,0,BUSD
2021-11-16 00:12:46,VETBUSD,SELL,0.157,2078.8,326.3716,0,BUSD
2021-11-16 01:05:55,ETHBUSD,SELL,4300,0.4704,2022.72,2.02272,BUSD
2021-11-16 03:29:29,BTCBUSD,BUY,60500,0.00826,499.73,0,BTC
2021-11-16 10:05:42,BTCBUSD,SELL,59500,0.05215,3102.925,3.102925,BUSD
2021-11-16 12:05:09,BNBBUSD,BUY,580,1,580,0,BNB
2021-11-17 03:16:22,DOTBUSD,BUY,39,12.82,499.98,0,DOT
2021-11-18 16:23:39,BNBBUSD,BUY,540,0.641,346.14,0,BNB
2021-11-18 16:23:39,BNBBUSD,BUY,540,0.359,193.86,0,BNB
2021-11-19 14:28:22,BNBBUSD,SELL,576,2,1152,0,BUSD
2021-11-24 06:20:17,VETBUSD,BUY,0.125,4000,500,0,VET
2021-11-26 08:51:50,ETHBUSD,BUY,4050,0.1234,499.77,0,ETH
2021-11-26 11:12:20,BNBBUSD,BUY,570,1,570,0,BNB
2021-11-26 11:58:08,BNBBUSD,BUY,570,1,570,0,BNB
2021-11-26 11:59:20,VETBUSD,BUY,0.111,2791.9,309.9009,0,VET
2021-11-26 11:59:20,VETBUSD,BUY,0.111,1712.6,190.0986,0,VET
2021-11-28 02:38:53,BNBBUSD,SELL,574,2,1148,0,BUSD
2021-11-28 03:12:24,DOTBUSD,SELL,32.8,21.93,719.304,0,BUSD
2021-11-28 03:12:24,DOTBUSD,SELL,32.8,0.32,10.496,0,BUSD
2021-11-28 17:40:54,BNBBUSD,BUY,580,0.392,227.36,0,BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580,0.153,88.74,0,BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580,0.242,140.36,0,BNB
2021-11-28 17:40:54,BNBBUSD,BUY,580,0.213,123.54,0,BNB
2021-11-28 18:43:11,BNBBUSD,BUY,574,1,574,0,BNB
2021-12-01 17:59:27,DOTBUSD,BUY,37.5,6.66,249.75,0,DOT
2021-12-03 20:01:01,DOTBUSD,BUY,33.5,7.46,249.91,0,DOT
2021-12-03 20:19:07,BNBBUSD,BUY,580,1,580,0,BNB
2021-12-03 20:19:20,VETBUSD,BUY,0.105,1336.9,140.3745,0,VET
2021-12-03 20:19:20,VETBUSD,BUY,0.105,96,10.08,0,VET
2021-12-03 20:19:20,VETBUSD,BUY,0.105,948,99.54,0,VET
2021-12-04 04:53:26,ETHBUSD,BUY,4050,0.0617,249.885,0,ETH
2022-01-08 18:12:41,BNBBUSD,SELL,420,1,420,0.42,BUSD
2022-01-10 14:16:32,BNBBUSD,SELL,420,0.109,45.78,0.04578,BUSD
2022-01-10 14:16:32,BNBBUSD,SELL,420,0.891,374.22,0.37422,BUSD
2022-01-10 14:18:47,VETBUSD,SELL,0.0705,2177.1,153.48555,0.15348555,BUSD
2022-01-10 14:18:53,DOTBUSD,SELL,22.8,12,273.6,0.2736,BUSD
