Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,0.6300000000ATOM,16.87770000BUSD,0.0168777000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,0.6300000000ATOM,16.87770000BUSD,0.0168777000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,0.5600000000ATOM,15.00240000BUSD,0.0150024000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,0.4900000000ATOM,13.12710000BUSD,0.0131271000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,0.4100000000ATOM,10.98390000BUSD,0.0109839000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,0.6000000000ATOM,16.07400000BUSD,0.0160740000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,1.2400000000ATOM,33.21960000BUSD,0.0332196000BUSD
2022-03-13 12:23:04,ATOMBUSD,SELL,26.7900000000,68.5000000000ATOM,"1,835.11500000BUSD",0.0000000000BUSD
2022-03-12 08:22:55,ATOMBUSD,BUY,27.3000000000,73.0600000000ATOM,"1,994.53800000BUSD",0.0000000000ATOM
2022-03-11 05:06:42,ATOMBUSD,SELL,26.9000000000,83.6400000000ATOM,"2,249.91600000BUSD",2.2499160000BUSD
2022-03-09 22:47:40,ATOMBUSD,BUY,29.9000000000,70.0000000000ATOM,"2,093.00000000BUSD",0.0000000000ATOM
2022-03-09 21:35:52,ATOMBUSD,BUY,29.8500000000,13.6400000000ATOM,407.15400000BUSD,0.0000000000ATOM
2022-03-09 01:53:41,ATOMBUSD,SELL,28.9000000000,83.8300000000ATOM,"2,422.68700000BUSD",0.0000000000BUSD
2022-03-09 01:53:41,ATOMBUSD,SELL,28.9000000000,3.3100000000ATOM,95.65900000BUSD,0.0000000000BUSD
2022-03-08 21:49:16,ATOMBUSD,BUY,27.5400000000,87.1400000000ATOM,"2,399.83560000BUSD",0.0000000000ATOM
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.7800000000ATOM,19.85100000BUSD,0.0198510000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,1.0900000000ATOM,27.74050000BUSD,0.0277405000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.5900000000ATOM,15.01550000BUSD,0.0150155000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,2.2800000000ATOM,58.02600000BUSD,0.0580260000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.8700000000ATOM,22.14150000BUSD,0.0221415000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,9.8000000000ATOM,249.41000000BUSD,0.0000000000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,1.9300000000ATOM,49.11850000BUSD,0.0491185000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.7900000000ATOM,20.10550000BUSD,0.0201055000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,1.0200000000ATOM,25.95900000BUSD,0.0259590000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,1.0100000000ATOM,25.70450000BUSD,0.0257045000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,17.1500000000ATOM,436.46750000BUSD,0.0000000000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.7900000000ATOM,20.10550000BUSD,0.0201055000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.5700000000ATOM,14.50650000BUSD,0.0145065000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,51.4500000000ATOM,"1,309.40250000BUSD",0.0000000000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.5300000000ATOM,13.48850000BUSD,0.0134885000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,1.1800000000ATOM,30.03100000BUSD,0.0300310000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.4700000000ATOM,11.96150000BUSD,0.0119615000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.9800000000ATOM,24.94100000BUSD,0.0249410000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,1.0200000000ATOM,25.95900000BUSD,0.0259590000BUSD
2022-02-23 23:14:25,ATOMBUSD,SELL,25.4500000000,0.5900000000ATOM,15.01550000BUSD,0.0150155000BUSD
2022-02-23 19:43:30,ATOMBUSD,BUY,26.0000000000,57.6900000000ATOM,"1,499.94000000BUSD",0.0576900000ATOM
2022-02-23 19:03:34,ATOMBUSD,BUY,25.9500000000,37.2600000000ATOM,966.89700000BUSD,0.0000000000ATOM
2022-02-21 12:17:50,ATOMBUSD,SELL,25.2000000000,3.1200000000ATOM,78.62400000BUSD,0.0000000000BUSD
2022-02-21 12:17:50,ATOMBUSD,SELL,25.2000000000,44.2500000000ATOM,"1,115.10000000BUSD",0.0000000000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.8300000000ATOM,20.91600000BUSD,0.0209160000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.4300000000ATOM,10.83600000BUSD,0.0108360000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,1.8300000000ATOM,46.11600000BUSD,0.0461160000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.7300000000ATOM,18.39600000BUSD,0.0183960000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.7500000000ATOM,18.90000000BUSD,0.0189000000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,12.2100000000ATOM,307.69200000BUSD,0.3076920000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.4300000000ATOM,10.83600000BUSD,0.0108360000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,1.0600000000ATOM,26.71200000BUSD,0.0267120000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.5900000000ATOM,14.86800000BUSD,0.0148680000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.6300000000ATOM,15.87600000BUSD,0.0158760000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,2.4700000000ATOM,62.24400000BUSD,0.0622440000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.8000000000ATOM,20.16000000BUSD,0.0201600000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,2.9400000000ATOM,74.08800000BUSD,0.0740880000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,1.1800000000ATOM,29.73600000BUSD,0.0297360000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.5900000000ATOM,14.86800000BUSD,0.0148680000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.5700000000ATOM,14.36400000BUSD,0.0143640000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.5000000000ATOM,12.60000000BUSD,0.0126000000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.7900000000ATOM,19.90800000BUSD,0.0199080000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,1.1800000000ATOM,29.73600000BUSD,0.0297360000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.4400000000ATOM,11.08800000BUSD,0.0110880000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,1.1800000000ATOM,29.73600000BUSD,0.0297360000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,11.7300000000ATOM,295.59600000BUSD,0.2955960000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,3.1700000000ATOM,79.88400000BUSD,0.0798840000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.5600000000ATOM,14.11200000BUSD,0.0141120000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.5900000000ATOM,14.86800000BUSD,0.0148680000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.8800000000ATOM,22.17600000BUSD,0.0221760000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,2.3500000000ATOM,59.22000000BUSD,0.0592200000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.8000000000ATOM,20.16000000BUSD,0.0201600000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,1.1800000000ATOM,29.73600000BUSD,0.0297360000BUSD
2022-02-21 12:17:30,ATOMBUSD,SELL,25.2000000000,0.8000000000ATOM,20.16000000BUSD,0.0201600000BUSD
2022-02-20 08:40:46,ATOMBUSD,BUY,25.6000000000,83.9400000000ATOM,"2,148.86400000BUSD",0.0000000000ATOM
2022-02-20 08:40:46,ATOMBUSD,BUY,25.6000000000,17.6200000000ATOM,451.07200000BUSD,0.0000000000ATOM
2022-01-31 07:33:12,ATOMBUSD,SELL,25.9900000000,9.8200000000ATOM,255.22180000BUSD,0.2552218000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.7800000000,0.5900000000ATOM,15.21020000BUSD,0.0152102000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.7800000000,0.7700000000ATOM,19.85060000BUSD,0.0198506000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.7800000000,1.9200000000ATOM,49.49760000BUSD,0.0494976000BUSD
2022-01-31 02:01:29,ATOMBUSD,SELL,25.7800000000,0.5100000000ATOM,13.14780000BUSD,0.0131478000BUSD
