Date(UTC),Market,Type,Price,Amount,Total,Fee
2022-01-12 07:18:51,ATOMBUSD,SELL,41.2,8.15,335.78,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,6.27,258.324,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,6.66,274.392,0.0000000000ATOM
2022-01-12 07:18:50,ATOMBUSD,SELL,41.2,16.49,679.388,0.0000000000ATOM
2022-01-10 13:50:32,ATOMBUSD,BUY,34.6,50.21,1737.266,0.0000000000ATOM
2022-01-10 13:50:32,ATOMBUSD,BUY,34.6,24.93,862.578,0.0000000000ATOM
2022-01-08 18:06:54,LUNABUSD,BUY,63,1.58,99.54,0.0000000000LUNA
2022-01-07 22:45:56,HBARBUSD,SELL,0.268,2228,597.104,0.5971040000BUSD
2022-01-07 22:45:56,HBARBUSD,SELL,0.268,634,169.912,0.0000000000BUSD
2022-01-07 16:18:38,HBARBUSD,BUY,0.272,1102,299.744,0.0000000000HBAR
2022-01-07 15:52:53,LUNABUSD,BUY,68.1,1.46,99.426,0.0000000000LUNA
2022-01-07 13:41:04,HBARBUSD,BUY,0.274,364,99.736,0.0000000000HBAR
2022-01-05 22:23:21,HBARBUSD,BUY,0.28,714,199.92,0.0000000000HBAR
2022-01-05 22:15:02,LUNABUSD,BUY,77,2.59,199.43,0.0000000000LUNA
2022-01-05 21:31:24,HBARBUSD,BUY,0.293,682,199.826,0.0000000000HBAR
2022-01-05 20:03:43,LUNABUSD,BUY,79.68,2.5,199.2,0.0025
2022-01-12 07:49:03,LUNABUSD,SELL,74.4,8.12,604.128,0.0000000000LUNA
