Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-01-10 14:07:32,DOTBUSD,BUY,23.4,4.88,114.192,0,DOT
2022-01-10 14:07:32,DOTBUSD,BUY,23.4,5.8,135.72,0,DOT
2022-01-09 16:58:31,CAKEBUSD,SELL,10.8,115.34,1245.672,0,BUSD
2022-01-08 17:32:55,DOTBUSD,BUY,24.1,1.55,37.355,0,DOT
2022-01-08 17:32:55,DOTBUSD,BUY,24.1,8.82,212.562,0,DOT
2022-01-08 15:12:52,MANABUSD,BUY,3,83,249,0,MANA
2022-01-08 11:51:08,CAKEBUSD,SELL,10.8,49.74,537.192,0,BUSD
2022-01-08 11:51:08,CAKEBUSD,SELL,10.8,65.61,708.588,0,BUSD
2021-12-29 13:28:31,ETHBUSD,BUY,3700,0.0675,249.75,0,ETH
2021-12-14 06:29:50,ETHBUSD,BUY,3700,0.0068,25.16,0,ETH
2021-12-14 06:29:50,ETHBUSD,BUY,3700,0.0607,224.59,0,ETH
2021-12-13 15:26:00,ETHBUSD,BUY,3850,0.0649,249.865,0,ETH
2021-12-10 16:16:33,ETHBUSD,BUY,3970,0.0629,249.713,0,ETH
2021-12-09 21:24:13,BTCBUSD,BUY,47800,0.00523,249.994,0,BTC
2021-12-08 14:01:41,BTCBUSD,BUY,49000,0.0051,249.9,0,BTC
2021-12-04 04:43:42,BTCBUSD,BUY,52000,0.0048,249.6,0,BTC
2021-12-03 16:56:18,BTCBUSD,BUY,55000,0.00454,249.7,0,BTC
2021-11-30 16:56:14,BTCBUSD,BUY,56700,0.00881,499.527,0,BTC
2021-10-27 08:39:00,CAKEBUSD,BUY,18.3,27.32,499.956,0,CAKE
2021-10-17 20:21:51,ETHBUSD,SELL,3650,0.3178,1159.97,1.15997,BUSD
2021-09-20 12:10:24,ETHBUSD,BUY,3040,0.1644,499.776,0,ETH
2021-09-10 14:29:46,ETHBUSD,BUY,3250,0.1538,499.85,0,ETH
