Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
2021-11-16 10:05:42,BTCBUSD,SELL,59500,0.05215,3102.925,3.102925,BUSD
2021-11-16 03:29:29,BTCBUSD,BUY,60500,0.00826,499.73,0,BTC
2021-11-03 18:00:14,BTCBUSD,BUY,62000,0.01612,999.44,0,BTC
2021-10-26 22:39:13,BTCBUSD,BUY,60000,0.01666,999.6,0,BTC
2021-10-20 12:40:42,BTCBUSD,SELL,64500,0.0222,1431.9,0,BUSD
2021-09-20 11:43:44,BTCBUSD,BUY,43500,0.01149,499.815,0,BTC
2021-09-10 21:48:18,BTCBUSD,BUY,44500,0.01123,499.735,0,BTC
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,0,,,,
