Date(UTC),Market,Type,Price,Amount,Total,Fee,Fee Coin
19/11/2021 14:28,BNBBUSD,SELL,576,2,1152,0,BUSD
18/11/2021 16:23,BNBBUSD,BUY,540,0.641,346.14,0,BNB
18/11/2021 16:23,BNBBUSD,BUY,540,0.359,193.86,0,BNB
17/11/2021 03:16,DOTBUSD,BUY,39,12.82,499.98,0,DOT
16/11/2021 12:05,BNBBUSD,BUY,580,1,580,0,BNB
16/11/2021 10:05,BTCBUSD,SELL,59500,0.05215,3102.925,3.102925,BUSD
16/11/2021 03:29,BTCBUSD,BUY,60500,0.00826,499.73,0,BTC
16/11/2021 01:05,ETHBUSD,SELL,4300,0.4704,2022.72,2.02272,BUSD
16/11/2021 00:12,VETBUSD,SELL,0.157,151.2,23.7384,0,BUSD
16/11/2021 00:12,VETBUSD,SELL,0.157,1089,170.973,0,BUSD
16/11/2021 00:12,VETBUSD,SELL,0.157,635.3,99.7421,0,BUSD
16/11/2021 00:12,VETBUSD,SELL,0.157,2497.3,392.0761,0,BUSD
16/11/2021 00:12,VETBUSD,SELL,0.157,2078.8,326.3716,0,BUSD
15/11/2021 21:00,DOTBUSD,BUY,45,0.23,10.35,0,DOT
15/11/2021 21:00,DOTBUSD,BUY,45,3.14,141.3,0,DOT
15/11/2021 21:00,DOTBUSD,BUY,45,3.33,149.85,0,DOT
15/11/2021 21:00,DOTBUSD,BUY,45,0.23,10.35,0,DOT
15/11/2021 21:00,DOTBUSD,BUY,45,0.23,10.35,0,DOT
15/11/2021 21:00,DOTBUSD,BUY,45,0.23,10.35,0,DOT
15/11/2021 21:00,DOTBUSD,BUY,45,3.72,167.4,0,DOT
14/11/2021 16:52,VETBUSD,BUY,0.155,6451.6,999.998,0,VET
14/11/2021 07:39,ETHBUSD,BUY,4600,0.2173,999.58,0,ETH
11/11/2021 05:38,DOTBUSD,BUY,48.58,15.86,770.4788,0,DOT
11/11/2021 05:38,DOTBUSD,BUY,48.58,4.72,229.2976,0.00472,DOT
10/11/2021 20:51,MATICBUSD,SELL,1.7,529.1,899.47,0,BUSD
08/11/2021 08:35,MATICBUSD,BUY,1.89,522.6,987.714,0,MATIC
08/11/2021 08:35,MATICBUSD,BUY,1.89,6.5,12.285,0,MATIC
03/11/2021 18:00,BTCBUSD,BUY,62000,0.01612,999.44,0,BTC
27/10/2021 19:23,ETHBUSD,BUY,3950,0.2531,999.745,0,ETH
26/10/2021 22:39,BTCBUSD,BUY,60000,0.01666,999.6,0,BTC
20/10/2021 12:40,BTCBUSD,SELL,64500,0.0222,1431.9,0,BUSD
20/09/2021 11:43,BTCBUSD,BUY,43500,0.01149,499.815,0,BTC
10/09/2021 21:48,BTCBUSD,BUY,44500,0.01123,499.735,0,BTC
,,,,,,,
